tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	synopsis
tt0023245	movie	The Mummy	The Mummy	0	1932		73	Fantasy,Horror	"En 1921, sur le site de Thèbes, des archéologues du British Museum découvrent un sarcophage contenant la momie d'Imhotep, prêtre de l'ancienne Égypte embaumé vivant pour être tombé amoureux de la princesse Ank-Souh-Namun, en dépit de l'interdit. Ramené à la vie par accident, Imhotep s'enfuit en emportant le parchemin de Thot, qui permet de ressusciter les morts.
Onze années plus tard, Imhotep, sous le nom de Ardath Bey, indique aux membres d'une nouvelle expédition l'emplacement de la tombe d'Ank-Souh-Namun. Persuadé qu'Helen Grosvenor, fille du gouverneur du Soudan, est la réincarnation de la princesse, prêt à tout pour conquérir le cœur de celle qu'il aime, il terrorise les membres de l'expédition."
tt0023293	movie	The Old Dark House	The Old Dark House	0	1932		72	Adventure,Comedy,Drama	
tt0024554	movie	A Shriek in the Night	A Shriek in the Night	0	1933		66	Crime,Mystery,Romance	Deux journalistes rivaux, Pat Morgan et Ted Rand, sont au coude à coude pour élucider le mystère entourant la mort d’un philanthrope millionnaire tombé du balcon de son penthouse en pleine nuit. Les résidents de l’immeuble sont tour à tour soupçonnés et bientôt, le nombre de morts augmentent lorsque trois autres meurtres se produisent.
tt0024727	movie	The Vampire Bat	The Vampire Bat	0	1933		65	Drama,Horror,Mystery	
tt0024906	movie	Born to Be Bad	Born to Be Bad	0	1934		62	Drama,Romance	"Letty Strong est une escort-girl. Elle change de compagnon et de robe tous les soirs. 
Son fils, Mickey sèche régulièrement les cours et est sur une mauvaise voie. En réalité, sa mère, déçue par la vie, ne fait rien pour lui inculquer les bonnes manières et ne lui apprend qu'à être malhonnête, à rendre les coups, à frapper le premier. 
Les rappels à l'ordre de Fuzzy, le vieil homme qui l'a recueillie lorsqu'elle s'était retrouvée à la rue avec son fils et qui l'avait embauchée dans la librairie ne lui font plus effet. 
Un jour, l'enfant  turbulent joue à s'accrocher en patins à roulettes derrière un camion et est heurté par un véhicule. 
Mais le garçon s'en sort sans trop de mal. Sa mère pourtant se met à vociférer sur le conducteur du camion, Malcolm Trevor, qui se trouve être le directeur de la société de transport de lait. 
Letty voit ici un bon moyen de se faire de l'argent malhonnêtement. Elle met sur pied un plan avec son fils : celui-ci devra jouer la comédie au tribunal afin qu'une forte indemnisation leur soit versée. 
Mais le tribunal n'est pas dupe. Grâce à un film tourné sur l'enfant après l'accident et le montrant en parfaite santé, leur tentative échoue. 
Le juge, devant l'ignominie de cette femme, décide de lui retirer la garde de Mickey. 
C'est Malcolm, le directeur mis en cause qui, ne pouvant avoir d'enfant avec son épouse, propose de recueillir le jeune garçon. 
Les premiers pas dans la demeure du riche entrepreneur sont d'abord émaillés d'actes malhonnêtes. Mickey tente même un jour de s'enfuir en ayant dérobé l'argenterie et des objets de valeur du manoir. 
De plus, Malcolm autorise  sa mère, c'est-à-dire Dorothy, à venir le voir souvent puis à emménager dans le manoir. 
Afin de se venger, Dorothy, conseillée par son avocat, va aller jusqu'à faire la cour et draguer sans vergogne celui qui lui a offert l'hospitalité afin de le piéger et d'enregistrer ses déclarations à son insu, comme celui-ci l'a fait dans l'autre sens au moment du procès. 
Finalement, Dorothy tombera vraiment amoureuse de Malcolm et Malcolm lui déclarera sa flamme. 
Madame Trévor s'efface pour l'amour de son mari, car dit-elle ""je n'ai pas pu lui donner d'enfant"". 
Dorothy, émue d'une telle réaction, comprend enfin que tout ce qu'elle a fait jusqu'à présent était mal. 
Elle va voir son fils et lui explique que tout ce qu'elle lui a enseigné sur l'agressivité, la malhonnêteté était mal. Et son jeune garçon de répondre :""je suis heureux que tu t'en rendes compte maintenant"". 
Elle serre une dernière fois son fils dans ses bras expliquant qu'elle doit quitter le domaine pour le bien-être de tous, laissant les Trévor éduquer Mickey. 
Dorothy retourne chez le vieil homme, Fuzzy, et demande si elle peut reprendre son travail à la librairie, ce que celui-ci lui offre très volontiers."
tt0025301	movie	Imitation of Life	Imitation of Life	0	1934		111	Comedy,Drama,Romance	Le destin de deux femmes (l'une Blanche, l'autre Noire) étalée sur plusieurs années, où se mêlent des intrigues amoureuses et des devoirs envers des communautés religieuses.
tt0025333	movie	Journal of a Crime	Journal of a Crime	0	1934		65	Drama,Film-Noir	Après avoir tiré sur la maîtresse de son époux, une femme est constamment tourmentée par la culpabilité lorsqu'elle apprend qu'une autre personne est accusée d'avoir commis ce crime.
tt0025499	movie	Midnight	Midnight	0	1934		76	Crime,Drama,Film-Noir	Une femme accusée de crime passionnel risque d'être envoyée sur la chaise électrique par un jury populaire, mené par l'intransigeant Edward Weldon. Il se retrouve face à un dilemme quand sa propre fille est elle-aussi accusée d'un crime.
tt0025586	movie	Of Human Bondage	Of Human Bondage	0	1934		83	Drama,Film-Noir,Romance	
tt0025907	movie	Treasure Island	Treasure Island	0	1934		110	Adventure,Drama,Family	
tt0027286	movie	The Amazing Adventure	The Amazing Quest of Ernest Bliss	0	1936		61	Comedy,Drama,Romance	Un milliardaire qui s'ennuie parie avec son médecin qu'il sera capable de gagner sa vie pendant un an.
tt0028092	movie	Pennies from Heaven	Pennies from Heaven	0	1936		81	Comedy,Drama,Music	
tt0028174	movie	Revolt of the Zombies	Revolt of the Zombies	0	1936		65	Adventure,Horror	
tt0028249	movie	Show Boat	Show Boat	0	1936		113	Comedy,Drama,Musical	"Magnolia Hawks a 18 ans et travaille sur le bateau spectacle de sa famille, le Cotton Blossom, qui parcourt tout le Mississippi pour présenter des spectacles. Elle rencontre Gaylord Ravenal, un charmant joueur et tombe amoureuse de lui avant de l'épouser. Lorsque nait leur petite fille, le couple quitte le bateau et s'installe à Chicago, où ils vivent des gains de Gaylord au jeu. Après une dizaine d'années, il connaît une série de pertes particulièrement graves et quitte Magnolia, car il se sent coupable de ruiner sa vie à cause de ses pertes. Magnolia est obligée d'élever seule sa petite fille. 
Dans une intrigue parallèle, Julie LaVerne, l'actrice principale du bateau de spectacle, qui est en partie noire mais se fait passer pour blanche, est obligée de quitter le bateau à cause de ses origines, emmenant avec elle Steve Baker, son mari blanc, avec qui, selon la loi de l'État, elle est mariée illégalement. Julie est finalement abandonnée par son mari et devient alcoolique. Pendant ce temps, Magnolia connaît le succès sur les planches à Chicago. 
Vingt-trois ans plus tard, Magnolia et Ravenal se retrouvent au théâtre où Kim, leur fille, joue son premier rôle à Broadway."
tt0028367	movie	Three Godfathers	Three Godfathers	0	1936		81	Drama,Western	
tt0028806	movie	Double or Nothing	Double or Nothing	0	1937		90	Comedy,Music,Romance	
tt0029761	movie	When You're in Love	When You're in Love	0	1937		110	Comedy,Musical,Romance	
tt0031477	movie	In Name Only	In Name Only	0	1939		94	Drama,Romance	
tt0031885	movie	The Rules of the Game	La règle du jeu	0	1939		110	Comedy,Drama	
tt0032138	movie	The Wizard of Oz	The Wizard of Oz	0	1939		102	Adventure,Family,Fantasy	
tt0032145	movie	Wuthering Heights	Wuthering Heights	0	1939		104	Drama,Romance	"Mr. Earnshaw a deux enfants : le fils aîné, Hindley et une fille, Catherine. Un jour, il ramène d'un voyage un enfant abandonné de six ans, Heathcliff, dont l'origine est inconnue, et qu'il traite comme son second fils. Hindley entre rapidement en conflit avec Heathcliff et lorsqu'à la mort de ses parents, il devient le maître de la maison ; il traite Heathcliff comme un vulgaire domestique.
Catherine devient ravissante ; elle est courtisée par un riche héritier qu'elle épousera, au grand dam d'Heathcliff, qui a toujours été amoureux d'elle. Pourtant Catherine aussi aime passionnément Heathcliff depuis toujours."
tt0033286	movie	Young Bill Hickok	Young Bill Hickok	0	1940		59	Drama,Music,Western	
tt0033723	movie	Hold That Ghost	Hold That Ghost	0	1941		86	Comedy,Crime,Horror	
tt0034398	movie	The Wolf Man	The Wolf Man	0	1941		70	Horror,Mystery,Romance	"Lawrence « Larry » Talbot, un Gallois, revient chez son père John Talbot. Il fait la connaissance de Gwenn Conliffe qui tient un magasin d'antiquités et en tombe éperdument amoureux.
Une nuit, alors que Larry, Gwenn et une de ses amies Jenny sont en promenade dans les bois, Jenny se fait attaquer par un loup. Larry accourt pour la sauver, le loup l'attaque à son tour mais Larry réussit grâce à sa canne en argent à le tuer. Malheureusement c'est déjà trop tard, Jenny est morte et Larry a été mordu par le loup et est donc gravement blessé.
Le lendemain, la police arrive sur les lieux, ils voient le corps de Jenny, mais pas de trace de l'animal – à la place, le corps sans vie d'un homme. La police va chez Talbot, il leur répète que Jenny a été attaquée par un loup et qu'il l'a tué, Larry n'a pas tué un homme mais un loup ! La police ne le croit pas, elle commence à croire qu'il est peut-être devenu fou. Larry Talbot n'y comprend rien, il est sûr d'avoir tué un animal et on veut lui faire croire qu'il a en réalité tué un homme !
Le lendemain d'une nuit de pleine lune, Larry se réveille dans son lit avec le goût du sang et avec ses vêtements tout sales, il n'a aucun souvenir de ce qui s'est passé pendant la nuit. À cause des superstitions du village sur les légendes de loups-garous, Larry commence à se demander s'il n'a pas tué un loup-garou et par conséquent, ayant été mordu par cette chose, s'il n'en est pas devenu un lui-même. Larry Talbot est-il atteint de lycanthropie ou de démence ?…"
tt0034465	movie	Arabian Nights	Arabian Nights	0	1942		86	Action,Adventure,Comedy	Kamar al-Shaman blesse son jeune frère, le calife Harun al-Rashid, lors de sa tentative de prendre le trône de Bagdad. En fuite, ce dernier se réfugie dans la troupe de la belle Shéhérazade, fort convoitée. Il est pris sous la protection d'un jeune acrobate, Ali Ben Ali. Mais la petite troupe, composée entre autres de Sinbad de retour de ses voyages et d'Aladin en manque de lampe magique, est vendue par le vizir Nadan. Les membres de la troupe deviennent ses esclaves.
tt0034707	movie	Escape from Crime	Escape from Crime	0	1942		51	Crime,Drama	
tt0034742	movie	Flying Tigers	Flying Tigers	0	1942		102	Action,Drama,Romance	En Chine, en 1941, un groupe de pilotes américains, les Tigres volants, combat dans les airs l'envahisseur japonais.
tt0036022	movie	The Human Comedy	The Human Comedy	0	1943		117	Comedy,Drama,Family	"En voix off, un père de famille décédé depuis deux ans, Matthew Macauley, présente aux spectateurs sa famille qui vit dans une petite ville de Californie en temps de guerre : son plus jeune fils, Ulysses, son fils adolescent Homer ; son fils aîné, Marcus, soldat envoyé en Europe, sa fille Bess, et sa femme. Homer travaille au bureau du télégraphe comme courrier après les cours au lycée ; il est chargé de délivrer des télégrammes de l’armée annonçant la mort de soldats.
Le film montre des tranches de vie des membres de cette famille, de leurs amis, de leurs voisins, et les effets que produit la guerre sur tout ce monde, effets amusants, sentimentaux ou graves."
tt0036692	movie	Can't Help Singing	Can't Help Singing	0	1944		90	Comedy,Musical,Romance	
tt0036706	movie	Charlie Chan in the Secret Service	Charlie Chan in the Secret Service	0	1944		63	Mystery	
tt0036730	movie	Crime by Night	Crime by Night	0	1944		72	Comedy,Drama,Mystery	
tt0037059	movie	Meet Me in St. Louis	Meet Me in St. Louis	0	1944		113	Comedy,Drama,Family	À Saint-Louis (Missouri) en 1903, alors que la ville prépare l'Exposition universelle, la famille Smith vit un bonheur sans histoire. Mais un soir, le père de famille annonce qu'il a obtenu un travail plus avantageux à New York et qu'il faudra bientôt quitter le Missouri. La mère et les quatre filles sont en émoi…
tt0037280	movie	Since You Went Away	Since You Went Away	0	1944		177	Drama,Romance,War	
tt0037638	movie	Detour	Detour	0	1945		66	Crime,Drama,Film-Noir	
tt0037651	movie	The Dolly Sisters	The Dolly Sisters	0	1945		114	Biography,Drama,Musical	"En 1904, l'oncle Latsie débarque à New York de Hongrie avec ses deux jeunes nièces, lesquelles se mettent tout de suite à se produire dans des cabarets.
En 1912, elles décident de passer dans le registre du vaudeville afin de payer les dettes de leur oncle. Le chanteur Harry Fox (en), qu'elles rencontrent, trouve une combine pour leur obtenir une audition avec le grand imprésario Oscar Hammerstein I (1847–1919)..."
tt0037767	movie	Having Wonderful Crime	Having Wonderful Crime	0	1945		70	Mystery	
tt0038026	movie	Rhapsody in Blue	Rhapsody in Blue	0	1945		135	Biography,Drama,Music	La relation tumultueuse du compositeur George Gershwin avec la chanteuse Julie Adams.
tt0038071	movie	Sensation Hunters	Sensation Hunters	0	1945		62	Action,Crime,Drama	
tt0038213	movie	The Valley of Decision	The Valley of Decision	0	1945		119	Drama,Romance	
tt0038235	movie	A Walk in the Sun	A Walk in the Sun	0	1945		117	Drama,War	En 1943, dans la tête de pont de Salerne, une section de soldats américains débarque, puis progresse vers une ferme...
tt0038390	movie	Caesar and Cleopatra	Caesar and Cleopatra	0	1945		123	Biography,Comedy,Drama	
tt0038975	movie	The Spiral Staircase	The Spiral Staircase	0	1946		83	Drama,Horror,Mystery	"Dans un petit village du Vermont en 1906, Helen est une jeune dame de compagnie pour dames âgés, qui souffre d'aphasie. Un soir, elle assiste à la projection d'un film dans le salon d'une auberge locale. Pendant la projection, une femme infirme séjournant à l'étage supérieur est assassinée dans sa chambre par un homme caché dans le placard. Il s'agit du troisième meurtre survenue dans la communauté. Le docteur Parry, un ami d'Helen, la conduit chez les Warren qui séjournent dans une grande propriété située à l'extérieur de la ville et où Helen est employée comme dame de compagnie pour Mme Warren, alitée. La maison abrite également le beau-fils de Mme Warren, Albert, un professeur local, son fils, Steven, ainsi qu'un personnel de maison : Mme Oates, une gouvernante, son mari, M. Oates, un homme à tout faire, Blanche, une secrétaire qui a une liaison avec Steven, et l'infirmière Barker, l'infirmière de Mme Warren qui abuse de son langage.
Dans la demeure, une silhouette cagoulée observe depuis les bois Helen alors qu'elle remonte l'allée. À l'intérieur, elle trouve Mme Oates dans la cuisine, qui lui exprime sa crainte que le tueur ne s'en prenne à Helen. En montant l'escalier, Helen s'arrête devant un miroir pour s'examiner mais sans s'apercevoir que l'œil d'un inconnu l'observe depuis l'ombre. Au milieu d'une tempête orageuse, le shérif s'arrête dans le domaine pour avertir Albert de surveiller Helen. Après que Mme Warren a perdu connaissance, le Dr Parry est appelé à la maison. L'infirmière Barker découvre qu'une bouteille d'éther a disparu et Albert envoie M. Oates en chercher en ville. Pendant ce temps, Mme Warren reprend conscience et presse le Dr Parry d'emmener Helen avec lui la mettre en sécurité. Il lui propose de l'emmener à Boston et de l'aider à surmonter le traumatisme de la mort de ses parents, qui a déclenché son mutisme. Elle accepte de partir et le Dr Parry prévoit de revenir plus tard dans la soirée après avoir effectué une autre visite à domicile.
Après une dispute avec Steven, Blanche demande à Helen si elle peut partir avec elle ce soir-là, ce que l'intéressée accepte. Alors que Blanche se rend au sous-sol pour récupérer sa valise, elle est soudainement attaquée puis assassinée. Helen trouve plus tard son cadavre dans la cave et est confrontée à Steven. Craignant qu'il soit l'assassin, elle l'enferme dans un placard et s'enfuit à l'étage. Elle tente de réveiller Mme Oates qui s'est évanouie, après s'être enivré de brandy. La dame de compagnie tente alors d'appeler le Dr Parry mais ne parvient pas à parler à l'opérateur téléphonique. Albert la trouve ensuite affolée, qui lui écrit sur un bloc-notes que Blanche a été assassinée. Alors qu'il suit Helen dans l'escalier menant à la chambre de Mme Warren, Albert lui avoue avoir tué Blanche par jalousie. Il lui révèle par la suite ensuite être le meurtrier en série, son objectif étant de tuer les faibles et les imparfaits du monde. Terrorisée, Helen s'enfuit et parvient à s'enfermer dans la chambre de Mme Warren, qu'elle trouve inconsciente. 
Au même moment, le shérif est revenu à la maison, qu'Albert reçoit à la porte d'entrée pour laisser un message à Helen, qui l'informe que le Dr Parry ne pourra pas revenir cette nuit et qu'ils devront se rendre à Boston le lendemain. Alors que le shérif s'en va, Helen tente d'attirer son attention en brisant la fenêtre de la chambre mais il ne l'entend pas au milieu du vent et du tonnerre. Helen retourne au sous-sol pour libérer Steven mais trouve Albert qui l'attend en se cachant. Il la poursuit alors qu'elle monte l'escalier vers le deuxième étage mais Mme Warren désormais réveillée et armée d'un pistolet, vient à leur rencontre. Mme Warren tire sur Albert à plusieurs reprises dans la poitrine, le tuant sur le coup et au milieu de la fusillade, Helen parvient à faire entendre sa voix en hurlant d'horreur. Mme Warren ordonne ensuite à Helen de récupérer Steven, qu'elle le libère du placard de la cave. Mme Warren embrasse Steven et meurt dans ses bras dans l'escalier. 
En bas, Helen appelle avec émotion le Dr Parry au téléphone car elle est maintenant capable de reparler."
tt0039192	movie	Black Narcissus	Black Narcissus	0	1947		101	Drama	Cinq sœurs  britanniques sont envoyées dans le palais himalayen de Mopu, cadeau d'un général indien, pour y établir un couvent, un dispensaire et une école. Ancien harem du général, situé sur un rocher venteux et escarpé, le palais trouble l'esprit des nonnes.
tt0039317	movie	The Devil Thumbs a Ride	The Devil Thumbs a Ride	0	1947		62	Crime,Drama,Film-Noir	
tt0039634	movie	Mother Wore Tights	Mother Wore Tights	0	1947		107	Drama,Musical,Romance	
tt0039668	movie	Nosotros los pobres	Nosotros los pobres	0	1948		128	Comedy,Crime,Drama	"Nosotros los pobres (Nous les pauvres) est un film mexicain de 1948. 
Film dramatique réalisé par Ismael Rodríguez, il était initialement intitulé Topillos y Planillas (d'après deux personnages du film et avant que le personnage principal Jose Pepe el Toro ait été créé). Le titre fut changé plus tard changé après que son auteur, Pedro de Urdimalas, a entendu Abel Cureño (qui jouait dans le film et qui incarnait, à cette époque, un vendeur de rue l'émission de radio La Banda de Huipanguillo) faire un commentaire sur le traitement injuste des personnes les plus pauvres dans la ville : « Nosotros somos los pobres despreciados por la gente; Nosotros los pobres no tenemos nada » (Nous, les pauvres sommes marginalisés par la société ; nous, les pauvres ne possédons rien).
En juillet 1994, le film est sélectionné dans la liste établie par la revue Somos des 100 meilleurs films mexicains de tous les temps."
tt0039677	movie	Odd Man Out	Odd Man Out	0	1947		116	Crime,Drama,Film-Noir	Johnny McQueen est le dirigeant d'une organisation clandestine irlandaise. Kathleen et sa mère le cachent chez elles. Là, Johnny échafaude un braquage qui permettra de financer les activités futures de son groupement. Malheureusement, pendant le braquage, les choses tournent mal : Johnny est blessé et ne peut plus regagner sa cachette. Il disparaît dans les ruelles de Belfast. Immédiatement, une chasse à l'homme de grande envergure est mise en place, et la ville se retrouve quadrillée par la police. Le chef de celle-ci est bien décidé à capturer Johnny et les autres membres du gang. Quant à Kathleen, elle se décide à partir à la recherche de Johnny.
tt0040064	movie	3 Godfathers	3 Godfathers	0	1948		106	Drama,Western	
tt0040270	movie	The Dark Past	The Dark Past	0	1948		73	Crime,Film-Noir,Thriller	
tt0040806	movie	The Snake Pit	The Snake Pit	0	1948		108	Drama,Mystery	Virginia, une jeune romancière qui vient de se marier à Robert Cunningham, est victime d’une grave dépression nerveuse voire d'une schizophrénie qui la conduit à l’internement dans un hôpital psychiatrique (Juniper Hill State Hospital). L’esprit troublé, la jeune femme n’a plus conscience du temps et de la réalité et ne reconnaît même plus son mari. Elle est soignée par le docteur Mark Kirk qui diagnostique la schizophrénie. Séances d'électrochocs, hypnose et cure de psychothérapie font partie de son traitement. Peu à peu, ravivant la mémoire de Virginia, celui-ci découvre des éléments tragiques du passé de sa patiente. Ainsi, la mort d’un fiancé et la culpabilité éprouvée par le décès de son père, l’ont persuadée d’être responsable de ces fins tragiques. Bien que l'état de Virginia semble s'être amélioré, le docteur Kirk, contrairement aux avis du Conseil des médecins de l'hôpital, juge l'éventuelle sortie de celle-ci prématurée. Effectivement, un conflit avec une infirmière autoritaire provoque chez elle une nouvelle crise de démence. Elle est conduite dans la salle des fous incurables, comparable à une « fosse aux serpents ». Choquée, Virginia retrouvera la mémoire et la raison.
tt0040919	movie	Unfaithfully Yours	Unfaithfully Yours	0	1948		105	Comedy,Music,Romance	
